experiment_name,eqsat_time,segments
llama_tau=5-cpu_2025-03-24_05:49:41,33.826,337
llama_tau=10-cpu_2025-03-24_05:49:41,25.408,193
llama_tau=25-cpu_2025-03-24_05:49:41,17.413,103
llama_tau=100-cpu_2025-03-24_05:49:41,13.767,30
llama_tau=500-cpu_2025-03-24_05:49:41,13.732,7
llama_tau=1000-cpu_2025-03-24_05:49:41,15.049,4
llama_tau=5000-cpu_2025-03-24_05:49:41,20.217,1
llama_no_segmentation-cpu,20.204,1
llama_tau=5-gpu_2025-03-24_05:49:41,33.429,337
llama_tau=10-gpu_2025-03-24_05:49:41,24.216,193
llama_tau=25-gpu_2025-03-24_05:49:41,16.416,103
llama_tau=100-gpu_2025-03-24_05:49:41,13.099,30
llama_tau=500-gpu_2025-03-24_05:49:41,12.951,7
llama_tau=1000-gpu_2025-03-24_05:49:41,13.714,4
llama_tau=5000-gpu_2025-03-24_05:49:41,20.103,1
llama_no_segmentation-gpu,20.245,1
maxtext_tau=5-cpu_2025-03-24_05:49:41,287.87,14
maxtext_tau=5-cpu_2025-03-24_05:49:41,375.66,40
maxtext_tau=5-cpu_2025-03-24_05:49:41,1131.9,61
maxtext_tau=5-cpu_2025-03-24_05:49:41,1.1272,14
maxtext_tau=5-cpu_2025-03-24_05:49:41,3.3809,40
maxtext_tau=5-cpu_2025-03-24_05:49:41,9.1108,61
maxtext_tau=10-cpu_2025-03-24_05:49:41,285,8
maxtext_tau=10-cpu_2025-03-24_05:49:41,374.62,22
maxtext_tau=10-cpu_2025-03-24_05:49:41,1125.2,38
maxtext_tau=10-cpu_2025-03-24_05:49:41,0.79186,8
maxtext_tau=10-cpu_2025-03-24_05:49:41,2.2611,22
maxtext_tau=10-cpu_2025-03-24_05:49:41,6.1645,38
maxtext_tau=25-cpu_2025-03-24_05:49:41,287.23,4
maxtext_tau=25-cpu_2025-03-24_05:49:41,375.83,11
maxtext_tau=25-cpu_2025-03-24_05:49:41,1143.8,19
maxtext_tau=25-cpu_2025-03-24_05:49:41,0.54031,4
maxtext_tau=25-cpu_2025-03-24_05:49:41,1.6447,11
maxtext_tau=25-cpu_2025-03-24_05:49:41,4.0992,19
maxtext_tau=100-cpu_2025-03-24_05:49:41,288.08,1
maxtext_tau=100-cpu_2025-03-24_05:49:41,396.94,3
maxtext_tau=100-cpu_2025-03-24_05:49:41,1164.1,6
maxtext_tau=100-cpu_2025-03-24_05:49:41,0.46934,1
maxtext_tau=100-cpu_2025-03-24_05:49:41,1.3174,3
maxtext_tau=100-cpu_2025-03-24_05:49:41,3.3274,6
maxtext_tau=500-cpu_2025-03-24_05:49:41,286.42,1
maxtext_tau=500-cpu_2025-03-24_05:49:41,407.76,1
maxtext_tau=500-cpu_2025-03-24_05:49:41,1172.4,2
maxtext_tau=500-cpu_2025-03-24_05:49:41,0.46938,1
maxtext_tau=500-cpu_2025-03-24_05:49:41,2.8692,1
maxtext_tau=500-cpu_2025-03-24_05:49:41,4.9719,2
maxtext_tau=1000-cpu_2025-03-24_05:49:41,288.5,1
maxtext_tau=1000-cpu_2025-03-24_05:49:41,409.07,1
maxtext_tau=1000-cpu_2025-03-24_05:49:41,1181.5,1
maxtext_tau=1000-cpu_2025-03-24_05:49:41,0.46663,1
maxtext_tau=1000-cpu_2025-03-24_05:49:41,2.7418,1
maxtext_tau=1000-cpu_2025-03-24_05:49:41,5.11,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,285.71,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,410.86,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,1175.8,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,0.46427,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,2.6518,1
maxtext_tau=5000-cpu_2025-03-24_05:49:41,5.0147,1
maxtext_no_segmentation-cpu,285.34,1
maxtext_no_segmentation-cpu,410.76,1
maxtext_no_segmentation-cpu,1176.5,1
maxtext_no_segmentation-cpu,0.46939,1
maxtext_no_segmentation-cpu,2.6935,1
maxtext_no_segmentation-cpu,5.0432,1
maxtext_tau=5-gpu_2025-03-24_05:49:41,1.275,14
maxtext_tau=5-gpu_2025-03-24_05:49:41,3.5994,41
maxtext_tau=5-gpu_2025-03-24_05:49:41,9.7242,62
maxtext_tau=5-gpu_2025-03-24_05:49:41,1.187,14
maxtext_tau=5-gpu_2025-03-24_05:49:41,3.4575,41
maxtext_tau=5-gpu_2025-03-24_05:49:41,9.3255,62
maxtext_tau=10-gpu_2025-03-24_05:49:41,0.90099,8
maxtext_tau=10-gpu_2025-03-24_05:49:41,2.39,24
maxtext_tau=10-gpu_2025-03-24_05:49:41,6.5872,38
